user_id,full_name,email,role
29cfe3cb-f9b3-48a8-977d-1e56261b4f7d,Allison Hill,donaldgarcia@example.net,Sales Rep
e59b2c61-87cd-4584-a516-cf537e007e77,Angie Henderson,davisjesse@example.net,Sales Rep
d3b6c0c8-89c5-44d9-8eb3-8f1e65e3a809,Cristian Santos,lrobinson@example.com,RevOps
cfd43488-1975-45ad-9191-e49884bb93a3,Abigail Shaffer,jpeterson@example.org,Sales Manager
d5890796-ac76-468e-92d8-09fd70046c44,Gabrielle Davis,howardmaurice@example.com,Sales Manager
c80a00e5-95ef-44de-b514-aea8db6912a3,Monica Herrera,smiller@example.net,Sales Manager
e3203511-a249-4e5f-bf78-c6f03e33a5e9,Shannon Ray,williamsjeremy@example.com,Sales Rep
4ac8ece6-da0f-4857-b691-10cf6dacca56,Dr. Sharon James,xreid@example.org,Sales Rep
459b46d9-0cd5-42f7-abf3-b24ed0094dda,Daniel Adams,lynchgeorge@example.net,VP Sales
952ff225-55cf-4bb9-8fa5-a15a99370db1,Joel Nelson,gabriellecameron@example.org,Sales Rep
